ID,N_VICTIMAS,FECHA,AAAA,MM,DD,HORA,HH,LUGAR_DEL_HECHO,TIPO_DE_CALLE,COMUNA,X,Y,VICTIMA,ACUSADO
2021-0007,1,2021-01-18,2021,1,18,10:00:00,10.0,DE LOS CONSTITUYENTES AV. Y GIRIBONE,AVENIDA,15,-58.48744301,-34.58622275,MOTO,MOTO
2021-0008,1,2021-01-22,2021,1,22,23:30:00,23.0,"SAENZ AV. Y RABANAL, FRANCISCO, INTENDENTE AV.",AVENIDA,4,-58.41657793,-34.65476216,PEATON,PASAJEROS
2021-0009,1,2021-01-23,2021,1,23,05:30:00,5.0,PAYSANDU Y GAONA,AVENIDA,6,-58.45351111,-34.61134937,MOTO,OBJETO FIJO
2021-0010,1,2021-01-23,2021,1,23,08:00:00,8.0,"PAZ, GRAL. AV. Y BALBIN, RICARDO, DR. AV. ",GRAL PAZ,12,-58.5007381,-34.5497951,MOTO,AUTO
2021-0011,1,2021-01-27,2021,1,27,01:04:26,1.0,SANTA FE AV. 1675,AVENIDA,2,-58.39144148,-34.59564871,PEATON,AUTO
2021-0012,1,2021-01-29,2021,1,29,20:07:22,20.0,AU DELLEPIANE Y GUAMINI,AUTOPISTA,8,-58.48191128,-34.68385968,PEATON,AUTO
2021-0013,1,2021-01-31,2021,1,31,06:10:00,6.0,"FALCON, RAMON L., CNEL. Y OLIVERA AV.",AVENIDA,10,-58.48727942,-34.63652467,MOTO,OBJETO FIJO
2021-0014,1,2021-02-02,2021,2,2,00:50:00,0.0,SAN MARTIN AV. Y NOGOYA,AVENIDA,15,-58.48328708,-34.59779521,PEATON,AUTO
2021-0015,1,2021-02-06,2021,2,6,03:05:00,3.0,SAN MARTIN AV. Y TINOGASTA,AVENIDA,15,-58.49018543,-34.5972499,MOTO,OBJETO FIJO
2021-0016,1,2021-02-14,2021,2,14,05:50:00,5.0,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. Y DE LA TORRE, LISANDRO",AVENIDA,8,-58.47230127,-34.68482689,AUTO,OBJETO FIJO
2021-0017,1,2021-02-17,2021,2,17,04:10:00,4.0,SALTA Y CASEROS AV.,AVENIDA,1,-58.38262614,-34.63168269,MOTO,PASAJEROS
2021-0018,1,2021-02-20,2021,2,20,19:00:00,19.0,"JAURES, JEAN Y PERON, JUAN DOMINGO, TTE. GENERAL",CALLE,3,-58.41047268,-34.60793518,PEATON,AUTO
2021-0019,1,2021-02-21,2021,2,21,01:20:00,1.0,"TRIUNVIRATO AV. Y LARRALDE, CRISOLOGO AV.",AVENIDA,12,-58.49659234,-34.56353635,MOTO,OBJETO FIJO
2021-0020,1,2021-02-21,2021,2,21,15:00:00,15.0,POTOSI Y GASCON,CALLE,5,-58.42462955,-34.60727189,PEATON,CARGAS
2021-0021,1,2021-02-26,2021,2,26,05:30:00,5.0,"YRIGOYEN, HIPOLITO Y  24 DE NOVIEMBRE",CALLE,3,-58.41168345,-34.61185625,MOTO,OBJETO FIJO
2021-0022,1,2021-02-28,2021,2,28,12:00:00,12.0,DEL LIBERTADOR AV. Y ROOSEVELT FRANKLIN D.,AVENIDA,13,-58.45157681,-34.55217303,PASAJEROS,
2021-0023,1,2021-03-01,2021,3,1,09:20:00,9.0,"AU BUENOS AIRES LA PLATA  KM 4,5",AUTOPISTA,4,,,MOTO,CARGAS
2021-0024,1,2021-03-03,2021,3,3,16:30:00,16.0,"PERON, EVA AV. y PIEDRA BUENA AV",AVENIDA,9,-58.49573651,-34.67006054,BICICLETA,CARGAS
2021-0025,1,2021-03-11,2021,3,11,03:45:00,3.0,"PAZ, GRAL. AV. y DELLEPIANE, LUIS, TTE. GRAL",GRAL PAZ,8,-58.48695354,-34.68795245,MOTO,OTRO
2021-0026,1,2021-03-15,2021,3,15,02:35:00,2.0,"AU FRONDIZI ALTURA QUINQUELA MARTIN, BENITO",AUTOPISTA,4,-58.37562539,-34.64449357,MOTO,OBJETO FIJO
2021-0027,1,2021-03-16,2021,3,16,15:30:00,15.0,"PAZ, GRAL. AV. y DONADO",GRAL PAZ,12,-58.49491054,-34.54795581,MOTO,CARGAS
2021-0028,1,2021-03-29,2021,3,29,17:20:00,17.0,"COREA AV. y TORRES Y TENORIO, PRES",AVENIDA,7,-58.44147621,-34.64357704,PEATON,PASAJEROS
2021-0029,1,2021-03-31,2021,3,31,18:05:00,18.0,"FALCON, RAMON L., CNEL. Y SAN PEDRITO AV.",AVENIDA,7,-58.46899119,-34.63215432,AUTO,AUTO
2021-0030,1,2021-04-03,2021,4,3,18:30:00,18.0,FINOCHIETTO ENRIQUE DR. 1623,CALLE,4,-58.38685612,-34.63455776,PEATON,PASAJEROS
2021-0031,1,2021-04-07,2021,4,7,10:29:00,10.0,9 DE JULIO AV. E INDEPENDENCIA AV.,AVENIDA,1,-58.38113667,-34.61765323,PEATON,CARGAS
2021-0032,1,2021-04-10,2021,4,10,19:55:00,19.0,"AU CANTILO Y GUIRALDES, INT.",AUTOPISTA,13,-58.44112678,-34.54538956,PEATON,MOTO
2021-0033,1,2021-04-14,2021,4,14,17:50:00,17.0,AU 25 DE MAYO ALTURA BAJADA BOEDO AV.,AUTOPISTA,5,-58.41595919,-34.62743346,AUTO,OBJETO FIJO
